A,89,13,75,82
B,192,13,69,82
C,288,13,68,82
D,382,13,69,82
E,478,13,66,82
F,571,13,66,82
G,658,13,69,82
H,755,13,60,82
I,843,13,39,82
J,909,13,53,82
K,987,13,67,82
L,1079,13,64,82
M,1168,13,77,82
N,1274,13,65,82
O,1367,13,67,82
P,1460,13,62,82
Q,98,153,77,82
R,199,153,63,82
S,287,153,57,82
T,370,153,70,82
U,467,153,67,82
V,562,153,64,82
W,648,153,90,82
X,760,153,67,82
Y,851,153,64,94
Z,938,153,65,82
0,99,293,67,82
1,193,293,39,82
2,260,293,56,82
3,344,293,55,82
4,426,293,59,82
5,512,293,50,82
6,590,293,57,82
7,675,293,58,82
8,761,293,58,82
9,848,293,57,82
